sample_name	REPORTER	SPLIT-AD	SPLIT-DBD	
T4T5_d1_SS21452_rep2	10xUAS_UNC84_attP2	R59E08-p65ADZp_attP40	R42F06-ZpGDBD_attP2	
T4T5_d2_SS00324_rep1	10xUAS_UNC84_attP2	VT055812-p65ADZp_attP40	R42F06-ZpGDBD_attP2	
T4T5_d2_SS00324_rep2	10xUAS_UNC84_attP2	VT055812-p65ADZp_attP40	R42F06-ZpGDBD_attP2	
MB42B_rep1	10xUAS_UNC84_attP2	R58E02-p65ADZp_attP40	R22E04-ZpGDBD_attP2	
MB42B_rep2	10xUAS_UNC84_attP2	R58E02-p65ADZp_attP40	R22E04-ZpGDBD_attP2	
MB196B_rep1	10xUAS_UNC84_attP2	R58E02-p65ADZp_attP40	R36B06-ZpGDBD_attP2	
MB196B_rep2	10xUAS_UNC84_attP2	R58E02-p65ADZp_attP40	R36B06-ZpGDBD_attP2	
GAD1_rep1	13XLexAop2_UNC84_attP18	NA	NA	
GAD1_rep2	13XLexAop2_UNC84_attP18	NA	NA	
chat_rep1	10xUAS_UNC84_attP2	NA	NA	
chat_rep2	10xUAS_UNC84_attP2	NA	NA	
VGLUT_rep1	10xUAS_UNC84_attP2	NA	NA	
VGLUT_rep2	10xUAS_UNC84_attP2	NA	NA	
Mi9_d1_SS02432_rep1	10xUAS_UNC84_attP2	R48A07-p65ADZp_attP40	VT046779-ZpGDBD_attP2	
Mi9_d1_SS02432_rep2	10xUAS_UNC84_attP2	R48A07-p65ADZp_attP40	VT046779-ZpGDBD_attP2	
Mi9_d2_SS02448_rep1	10xUAS_UNC84_attP2	VT046779-p65ADZp_attP40	R41C05-ZpGDBD_attP2	
Mi9_d2_SS02448_rep2	10xUAS_UNC84_attP2	VT046779-p65ADZp_attP40	R41C05-ZpGDBD_attP2	
Mi15_d2_rep1	10xUAS_UNC84_attP2	R53E04-p65ADZp_attP40	R75H08-ZpGDBD_attP2	
Mi15_d2_rep2	10xUAS_UNC84_attP2	R53E04-p65ADZp_attP40	R75H08-ZpGDBD_attP2	
LC10_d2_rep1	10xUAS_UNC84_attP2	VT043920-p65ADZp_attP40	R91B01-ZpGDBD_attP2	
